K_ID,coluna,nome_original,nome_normalizado,sexo,cargo_estado,conjuges_K,datas,observacoes,certeza_estrutura,certeza_leitura
K001,1,Simon van aertrijcke,Simon van Aertrycke,M,eschevin de Bruges,K002,1331,"Armas da esposa descritas ao lado: «croix d'or, accomp. de 20 billettes de mesme»",alta,alta
K002,1,[nome em branco] fi.a Bernard dop[?],"[?] , filha de Bernard D'Op[?]",F,,K001,,Kerchof deixou o prenome em branco (pontilhado). Patronimo «dop»/«d'Op» incerto,alta,baixa
K003,2,Simon van aertrijcke bourgmr de Bruges,Simon van Aertrycke,M,bourgmestre de Bruges,K004,m. 1360,"«Il mourut 1360, gist a S[t] Sauveur devant el grand autel»",alta,alta
K004,2,Hab[i]ter[?] fi.a messire pieter q. de maldeghem,[Ha]biter[?] de Maldeghem,F,,K003,,filha de messire Pieter [quondam] de Maldeghem,alta,media
K005,2,gi'ellis d'aertrijcke bourgmr de Bruges 1333,Gillis/Ghiselin d'Aertrycke,M,bourgmestre de Bruges,,1333,Sem esposa e sem filhos desenhados no fólio,alta,media
K006,2,Ligaarde aertrijcke,Ligarde van Aertrycke,F,,K007,,,alta,alta
K007,2,Jan al bendonc[?] filz de Jacq.,"Jan Al[be]ndonc[?], filho de Jacques",M,,K006,,Sobrenome do marido de leitura incerta,alta,baixa
K008,2,cath. aertrijcke relig. a S[t]e claire a gand,Catherine van Aertrycke,F,"religiosa, Ste-Claire, Gand",,,,alta,alta
K009,2,Bernard van aertrijcke eschevin de Bruges,Bernard van Aertrycke,M,eschevin de Bruges,K010;K011,,Dois casamentos declarados,alta,alta
K010,2,marie bonin fi.a Lambert,Marie Bonin,F,,K009,,,alta,alta
K011,2,Cecilie de Rechteberghe fi.a Gilles,Cecilie de Rechteberghe,F,,K009,,Linha final do verbete ilegivel: «alli[e]/enterr[e] a +de doussy[?]»,alta,baixa
K012,3,messire pieter van aertrijcke,Pieter van Aertrycke,M,messire,K013;K014,,«gist [aupres?] de son pere» — leitura incerta,alta,media
K013,3,[em branco] Utenhove,[?] Utenhove,F,,K012,,1º casamento; prenome em branco,alta,media
K014,3,[em branco],[?],F,,K012,,2º casamento; nome inteiramente em branco,alta,alta
K015,3,Loijs van aertrijcke,Loijs van Aertrycke,M,,,,«dont Jean» — declara um filho chamado Jean (K016),alta,alta
K016,3,Jean,Jean van Aertrycke,M,,,,"filho de K015, declarado por «dont Jean»",alta,alta
K017,3,Beatrix d'aertrijcke,Beatrix d'Aertrycke,F,,K018,,,alta,alta
K018,3,andrieu Bardelaes[?],Andrieu Bardelaes[?],M,,K017,m. 1342,"«mort 1342, gist au chapitre des jacobins»",alta,media
K019,3,Jan albendo.cn[?],Jan Al[be]ndonc[?],M,,,,Ocorrencia homonima de K007 — NAO fundir sem prova,media,baixa
K020,3,marie relig. a sp. damai[?]der,Marie,F,religiosa,,,Casa religiosa de leitura incerta,media,baixa
K021,3,Isabelle,Isabelle,F,,,,Nome isolado sob colchete,media,alta
K022,3,Jan van aertrijcke tresorier de Bruges,Jan van Aertrycke,M,tresorier de Bruges,K023,1363;1393,Rubrica «1. Lict». «mort 1363 et luij 1393»; doacao a Bruges a entrada da igreja e aniversario,alta,media
K023,3,Hab[i]er[?] de [H]aeslan[?] fi.a robert,[?] de Ha[e]slant[?],F,,K022,,,alta,baixa
K024,3,georges van aertrijcke eschevin de Bruges,Georges van Aertrycke,M,eschevin de Bruges,,1356,RELACAO EXPLICITA: «fut tuteur des infans de Simon son frere» — irmao de um Simon,alta,alta
K025,3,Jan van aertrijcke,Jan van Aertrycke,M,,K0251,ob. 1355,Rubrica «2. Lict»,alta,media
K0251,3,Barbe[?] de [T]olpelar[?] fi.a guill[aum]e[?],[?],F,,K025,,Leitura do sobrenome muito incerta,media,baixa
K026,3,Simon van aertrijcke,Simon van Aertrycke,M,,,ob. 1371,«ob. [i]a dô 1371»,alta,alta
K027,3,Cath. aertrijcke,Catherine van Aertrycke,F,,K0271,1391/1395[?],,alta,media
K0271,3,Jan van R[e]chte[r]berghe fi.z Bartholomé,Jan van Re[ch]te[r]berghe[?],M,,K027,m. 1391/1395[?],Ano final de leitura incerta; «gist au Beguinage[?]»,media,baixa
K028,4,[X]poffer[?]/pieter van aertrijcke,Christoffel[?] / Pieter van Aertrycke,M,,K029w,,Rubrica «1. Lict». Ha uma INSERCAO SUPERSCRITA «xpoffer» (=Christoffel) sobre o nome — Kerchof corrigiu ou acrescentou. «gist aux augustins»,alta,baixa
K029w,4,Loijse mettencije[?] fi.a Jan et d'Isabeau Buly[?],Loijse Metteneye[?],F,,K028,,Sobrenome lido como Metteneye com reserva,alta,baixa
K029,4,Jan van aertrijcke sr. de Tillegem,Jan van Aertrycke,M,seigneur de Tillegem,K030;K031,,PRIMEIRO individuo que Kerchof chama senhor de Tillegem no fólio (col.4),alta,alta
K030,4,Walburge van de Walle fi.a Sohier[?],Walburga van de Walle,F,,K029,,,alta,media
K031,4,Marg[uerit]e [em branco],Marguerite [?],F,,K029,,2º casamento («Il sp. 2º»),alta,media
K032,4,Amand d'aertrijcke Sr. de Maldeghem,Amand d'Aertrycke,M,seigneur de Maldeghem,K033,,Rubrica «2. Lict». «gist a S[t] Sauveur a Bruges»,alta,media
K033,4,anne de Vleeschhauwer,Anne de Vleeschauwer,F,,K032,,,alta,alta
K034,4,marg[uerit]e qui sp. Loijs van der Straeten,Marguerite d'Aertrycke,F,,K034m,,«dont Marguerite qui sp. Loijs van der Straeten» — filiacao declarada no proprio verbete,alta,media
