K_ID,bloco_V,coluna,x0,y0,x1,y1,tiles,bloco_progenitor,blocos_filhos
K001,C01-V01,C01,100,0,480,4077,R1C1;R2C1;R3C1,,C02-V02;C02-V03;C02-V04;C02-V05;C02-V06;C02-V07
K002,C01-V01,C01,100,0,480,4077,R1C1;R2C1;R3C1,,C02-V02;C02-V03;C02-V04;C02-V05;C02-V06;C02-V07
(brasões),C02-V01,C02,480,0,928,715,R1C1,,
K003,C02-V02,C02,480,906,928,1065,R1C1,C01-V01,C03-V04;C03-V05
K003,C02-V03,C02,480,1104,928,1546,R1C1;R2C1,C01-V01,
K004,C02-V03,C02,480,1104,928,1546,R1C1;R2C1,C01-V01,
K005,C02-V04,C02,480,1723,928,1901,R2C1,C01-V01,C03-V06;C03-V07
K006,C02-V05,C02,480,2051,928,2248,R2C1,C01-V01,C03-V08
K007,C02-V05,C02,480,2051,928,2248,R2C1,C01-V01,C03-V08
K008,C02-V06,C02,480,2383,928,2613,R2C1;R3C1,C01-V01,
K009,C02-V07,C02,480,2908,928,3556,R3C1,C01-V01,C03-V10;C03-V11;C03-V12
K010,C02-V07,C02,480,2908,928,3556,R3C1,C01-V01,C03-V10;C03-V11;C03-V12
K011,C02-V07,C02,480,2908,928,3556,R3C1,C01-V01,C03-V10;C03-V11;C03-V12
(título),C03-V01,C03,928,0,1420,126,R1C1;R1C2,,
(brasão),C03-V02,C03,928,207,1420,259,R1C1;R1C2,,C04-V02;C04-V03;C04-V04;C04-V05;C04-V06
(nota heráldica),C03-V03,C03,928,273,1420,650,R1C1;R1C2,,
K012,C03-V04,C03,928,676,1420,953,R1C1;R1C2,C02-V02,
K013,C03-V04,C03,928,676,1420,953,R1C1;R1C2,C02-V02,
K014,C03-V05,C03,928,1028,1420,1108,R1C1;R1C2,C02-V02,
K015,C03-V06,C03,928,1239,1420,1510,R1C1;R1C2;R2C1;R2C2,C02-V04,
K016,C03-V06,C03,928,1239,1420,1510,R1C1;R1C2;R2C1;R2C2,C02-V04,
K017,C03-V07,C03,928,1666,1420,2230,R2C1;R2C2,C02-V04,
K018,C03-V07,C03,928,1666,1420,2230,R2C1;R2C2,C02-V04,
K019,C03-V07,C03,928,1666,1420,2230,R2C1;R2C2,C02-V04,
K020,C03-V07,C03,928,1666,1420,2230,R2C1;R2C2,C02-V04,
K021,C03-V08,C03,928,2272,1420,2328,R2C1;R2C2,C02-V05,C04-V07;C04-V08
(rubrica 1.Lict),C03-V09,C03,928,2404,1420,2456,R2C1;R2C2,,
K022,C03-V10,C03,928,2470,1420,3343,R2C1;R2C2;R3C1;R3C2,C02-V07,
K023,C03-V10,C03,928,2470,1420,3343,R2C1;R2C2;R3C1;R3C2,C02-V07,
K024,C03-V10,C03,928,2470,1420,3343,R2C1;R2C2;R3C1;R3C2,C02-V07,
K025,C03-V11,C03,928,3377,1420,3731,R3C1;R3C2,C02-V07,C04-V09
K0251,C03-V11,C03,928,3377,1420,3731,R3C1;R3C2,C02-V07,C04-V09
K026,C03-V11,C03,928,3377,1420,3731,R3C1;R3C2,C02-V07,C04-V09
K027,C03-V12,C03,928,3766,1420,4077,R3C1;R3C2,C02-V07,
K0271,C03-V12,C03,928,3766,1420,4077,R3C1;R3C2,C02-V07,
K028,C04-V02,C04,1420,179,1912,593,R1C1;R1C2,C03-V02,
K029w,C04-V02,C04,1420,179,1912,593,R1C1;R1C2,C03-V02,
K029,C04-V03,C04,1420,720,1912,845,R1C1;R1C2,C03-V02,C05-V03;C05-V04;C05-V05;C05-V06
K030,C04-V04,C04,1420,894,1912,1257,R1C1;R1C2;R2C1;R2C2,C03-V02,
K031,C04-V04,C04,1420,894,1912,1257,R1C1;R1C2;R2C1;R2C2,C03-V02,
K032,C04-V05,C04,1420,1477,1912,1534,R1C1;R1C2;R2C1;R2C2,C03-V02,
K033,C04-V06,C04,1420,1560,1912,2089,R2C1;R2C2,C03-V02,
K034,C04-V06,C04,1420,1560,1912,2089,R2C1;R2C2,C03-V02,
K034m,C04-V06,C04,1420,1560,1912,2089,R2C1;R2C2,C03-V02,
K035,C04-V07,C04,1420,2161,1912,2593,R2C1;R2C2;R3C1;R3C2,C03-V08,
K036,C04-V07,C04,1420,2161,1912,2593,R2C1;R2C2;R3C1;R3C2,C03-V08,
K037,C04-V07,C04,1420,2161,1912,2593,R2C1;R2C2;R3C1;R3C2,C03-V08,
K038,C04-V07,C04,1420,2161,1912,2593,R2C1;R2C2;R3C1;R3C2,C03-V08,
K039,C04-V08,C04,1420,2629,1912,3265,R2C1;R2C2;R3C1;R3C2,C03-V08,C05-V07;C05-V08
K040,C04-V08,C04,1420,2629,1912,3265,R2C1;R2C2;R3C1;R3C2,C03-V08,C05-V07;C05-V08
K097,C04-V08,C04,1420,2629,1912,3265,R2C1;R2C2;R3C1;R3C2,C03-V08,C05-V07;C05-V08
K097a,C04-V08,C04,1420,2629,1912,3265,R2C1;R2C2;R3C1;R3C2,C03-V08,C05-V07;C05-V08
K097b,C04-V08,C04,1420,2629,1912,3265,R2C1;R2C2;R3C1;R3C2,C03-V08,C05-V07;C05-V08
K098,C04-V08,C04,1420,2629,1912,3265,R2C1;R2C2;R3C1;R3C2,C03-V08,C05-V07;C05-V08
K098a,C04-V08,C04,1420,2629,1912,3265,R2C1;R2C2;R3C1;R3C2,C03-V08,C05-V07;C05-V08
K098b,C04-V08,C04,1420,2629,1912,3265,R2C1;R2C2;R3C1;R3C2,C03-V08,C05-V07;C05-V08
K095,C04-V09,C04,1420,3282,1912,3497,R3C1;R3C2,C03-V11,C05-V09
K096,C04-V09,C04,1420,3282,1912,3497,R3C1;R3C2,C03-V11,C05-V09
K099,C04-V10,C04,1420,3567,1912,4077,R3C1;R3C2,,
K099w,C04-V10,C04,1420,3567,1912,4077,R3C1;R3C2,,
K100,C04-V10,C04,1420,3567,1912,4077,R3C1;R3C2,,
K101,C04-V10,C04,1420,3567,1912,4077,R3C1;R3C2,,
K102,C04-V10,C04,1420,3567,1912,4077,R3C1;R3C2,,
K103,C04-V10,C04,1420,3567,1912,4077,R3C1;R3C2,,
K104,C04-V10,C04,1420,3567,1912,4077,R3C1;R3C2,,
K106,C04-V10,C04,1420,3567,1912,4077,R3C1;R3C2,,
K041,C05-V02,C05,1912,201,2440,816,R1C2,,
K042,C05-V02,C05,1912,201,2440,816,R1C2,,
K043,C05-V03,C05,1912,841,2440,1298,R1C2;R2C2,C04-V03,C06-V04
K044,C05-V03,C05,1912,841,2440,1298,R1C2;R2C2,C04-V03,C06-V04
K045,C05-V03,C05,1912,841,2440,1298,R1C2;R2C2,C04-V03,C06-V04
K046,C05-V04,C05,1912,1314,2440,1386,R1C2;R2C2,C04-V03,C06-V05
K047,C05-V05,C05,1912,1432,2440,1793,R1C2;R2C2,C04-V03,C06-V06
K047a,C05-V05,C05,1912,1432,2440,1793,R1C2;R2C2,C04-V03,C06-V06
K047b,C05-V05,C05,1912,1432,2440,1793,R1C2;R2C2,C04-V03,C06-V06
K048,C05-V06,C05,1912,1810,2440,2080,R2C2,C04-V03,
K048m,C05-V06,C05,1912,1810,2440,2080,R2C2,C04-V03,
K049,C05-V06,C05,1912,1810,2440,2080,R2C2,C04-V03,
K050,C05-V07,C05,1912,2163,2440,2311,R2C2,C04-V08,
K051,C05-V08,C05,1912,2434,2440,2592,R2C2;R3C2,C04-V08,
K052,C05-V09,C05,1912,2789,2440,3655,R2C2;R3C2,C04-V09,C06-V07;C06-V08;C06-V09
K086,C05-V09,C05,1912,2789,2440,3655,R2C2;R3C2,C04-V09,C06-V07;C06-V08;C06-V09
K087,C05-V09,C05,1912,2789,2440,3655,R2C2;R3C2,C04-V09,C06-V07;C06-V08;C06-V09
K088,C05-V09,C05,1912,2789,2440,3655,R2C2;R3C2,C04-V09,C06-V07;C06-V08;C06-V09
K089,C05-V09,C05,1912,2789,2440,3655,R2C2;R3C2,C04-V09,C06-V07;C06-V08;C06-V09
K089m,C05-V09,C05,1912,2789,2440,3655,R2C2;R3C2,C04-V09,C06-V07;C06-V08;C06-V09
K090,C05-V09,C05,1912,2789,2440,3655,R2C2;R3C2,C04-V09,C06-V07;C06-V08;C06-V09
K090m,C05-V09,C05,1912,2789,2440,3655,R2C2;R3C2,C04-V09,C06-V07;C06-V08;C06-V09
K091,C05-V09,C05,1912,2789,2440,3655,R2C2;R3C2,C04-V09,C06-V07;C06-V08;C06-V09
K091a,C05-V09,C05,1912,2789,2440,3655,R2C2;R3C2,C04-V09,C06-V07;C06-V08;C06-V09
K091b,C05-V09,C05,1912,2789,2440,3655,R2C2;R3C2,C04-V09,C06-V07;C06-V08;C06-V09
K092,C05-V09,C05,1912,2789,2440,3655,R2C2;R3C2,C04-V09,C06-V07;C06-V08;C06-V09
K105,C05-V10,C05,1912,3703,2440,3857,R3C2,,
K053,C06-V02,C06,2440,203,2980,423,R1C2;R1C3,,C07-V02;C07-V03
K054w,C06-V02,C06,2440,203,2980,423,R1C2;R1C3,,C07-V02;C07-V03
K054,C06-V05,C06,2440,1084,2980,1442,R1C2;R1C3;R2C2;R2C3,C05-V04,
K055,C06-V05,C06,2440,1084,2980,1442,R1C2;R1C3;R2C2;R2C3,C05-V04,
K056,C06-V05,C06,2440,1084,2980,1442,R1C2;R1C3;R2C2;R2C3,C05-V04,
K057,C06-V05,C06,2440,1084,2980,1442,R1C2;R1C3;R2C2;R2C3,C05-V04,
K058,C06-V05,C06,2440,1084,2980,1442,R1C2;R1C3;R2C2;R2C3,C05-V04,
K059,C06-V06,C06,2440,1596,2980,1986,R2C2;R2C3,C05-V05,
K060,C06-V06,C06,2440,1596,2980,1986,R2C2;R2C3,C05-V05,
K061,C06-V06,C06,2440,1596,2980,1986,R2C2;R2C3,C05-V05,
K061w,C06-V06,C06,2440,1596,2980,1986,R2C2;R2C3,C05-V05,
K062,C06-V07,C06,2440,2028,2980,2698,R2C2;R2C3;R3C2;R3C3,C05-V09,C07-V04;C07-V05
K062w,C06-V07,C06,2440,2028,2980,2698,R2C2;R2C3;R3C2;R3C3,C05-V09,C07-V04;C07-V05
K063,C06-V07,C06,2440,2028,2980,2698,R2C2;R2C3;R3C2;R3C3,C05-V09,C07-V04;C07-V05
K063w,C06-V07,C06,2440,2028,2980,2698,R2C2;R2C3;R3C2;R3C3,C05-V09,C07-V04;C07-V05
K064,C06-V08,C06,2440,2720,2980,2894,R2C2;R2C3;R3C2;R3C3,C05-V09,
K093,C06-V09,C06,2440,2910,2980,3036,R3C2;R3C3,C05-V09,
K094,C06-V09,C06,2440,2910,2980,3036,R3C2;R3C3,C05-V09,
K065,C07-V02,C07,2980,160,3488,253,R1C3,C06-V02,
K066,C07-V03,C07,2980,300,3488,433,R1C3,C06-V02,
K067,C07-V05,C07,2980,2299,3488,2702,R2C3;R3C3,C06-V07,C08-V05;C08-V06
K067w,C07-V05,C07,2980,2299,3488,2702,R2C3;R3C3,C06-V07,C08-V05;C08-V06
K068,C07-V05,C07,2980,2299,3488,2702,R2C3;R3C3,C06-V07,C08-V05;C08-V06
K068m,C07-V05,C07,2980,2299,3488,2702,R2C3;R3C3,C06-V07,C08-V05;C08-V06
K069,C07-V05,C07,2980,2299,3488,2702,R2C3;R3C3,C06-V07,C08-V05;C08-V06
K069a,C07-V05,C07,2980,2299,3488,2702,R2C3;R3C3,C06-V07,C08-V05;C08-V06
K069b,C07-V05,C07,2980,2299,3488,2702,R2C3;R3C3,C06-V07,C08-V05;C08-V06
K070,C07-V05,C07,2980,2299,3488,2702,R2C3;R3C3,C06-V07,C08-V05;C08-V06
K070w,C07-V05,C07,2980,2299,3488,2702,R2C3;R3C3,C06-V07,C08-V05;C08-V06
K071,C08-V02,C08,3488,826,3940,1279,R1C3;R1C4;R2C3;R2C4,C07-V04,C09-V02
K071m,C08-V02,C08,3488,826,3940,1279,R1C3;R1C4;R2C3;R2C4,C07-V04,C09-V02
K072,C08-V02,C08,3488,826,3940,1279,R1C3;R1C4;R2C3;R2C4,C07-V04,C09-V02
K073,C08-V02,C08,3488,826,3940,1279,R1C3;R1C4;R2C3;R2C4,C07-V04,C09-V02
K074,C08-V02,C08,3488,826,3940,1279,R1C3;R1C4;R2C3;R2C4,C07-V04,C09-V02
K075,C08-V04,C08,3488,1801,3940,2723,R2C3;R2C4;R3C3;R3C4,,
K075m,C08-V04,C08,3488,1801,3940,2723,R2C3;R2C4;R3C3;R3C4,,
K076,C08-V04,C08,3488,1801,3940,2723,R2C3;R2C4;R3C3;R3C4,,
K076m,C08-V04,C08,3488,1801,3940,2723,R2C3;R2C4;R3C3;R3C4,,
K077,C08-V04,C08,3488,1801,3940,2723,R2C3;R2C4;R3C3;R3C4,,
K078,C08-V05,C08,3488,2747,3940,2861,R2C3;R2C4;R3C3;R3C4,C07-V05,C09-V05
K079,C08-V06,C08,3488,2925,3940,3414,R3C3;R3C4,C07-V05,
K079w,C08-V06,C08,3488,2925,3940,3414,R3C3;R3C4,C07-V05,
K080,C08-V06,C08,3488,2925,3940,3414,R3C3;R3C4,C07-V05,
K080w,C08-V06,C08,3488,2925,3940,3414,R3C3;R3C4,C07-V05,
K081,C09-V02,C09,3940,720,4392,1032,R1C3;R1C4,C08-V02,
K081m,C09-V02,C09,3940,720,4392,1032,R1C3;R1C4,C08-V02,
K108,C09-V04,C09,3940,2277,4392,2486,R2C3;R2C4,,
K108w,C09-V04,C09,3940,2277,4392,2486,R2C3;R2C4,,
K082,C09-V05,C09,3940,2663,4392,2897,R2C3;R2C4;R3C3;R3C4,C08-V05,
K082w,C09-V05,C09,3940,2663,4392,2897,R2C3;R2C4;R3C3;R3C4,C08-V05,
K083,C09-V05,C09,3940,2663,4392,2897,R2C3;R2C4;R3C3;R3C4,C08-V05,
K083w,C09-V05,C09,3940,2663,4392,2897,R2C3;R2C4;R3C3;R3C4,C08-V05,
K084,C09-V06,C09,3940,2916,4392,3442,R3C3;R3C4,,
K084m,C09-V06,C09,3940,2916,4392,3442,R3C3;R3C4,,
K085,C09-V06,C09,3940,2916,4392,3442,R3C3;R3C4,,
K109,C09-V06,C09,3940,2916,4392,3442,R3C3;R3C4,,
K107,C10-V03,C10,4392,2515,5100,2865,R2C4;R3C4,,
K107m,C10-V03,C10,4392,2515,5100,2865,R2C4;R3C4,,
